"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSDARG00000020871",167.856634128585,0.358030313300514,0.350883442658728,1.02036821853899,0.307553860778009,0.999947348795925
"ENSDARG00000039346",1304.31840635629,0.03233290746887,0.14340154997833,0.225471115714969,0.821612793198311,0.999947348795925
"ENSDARG00000101565",10.2673633651079,-0.817014535056136,1.39964904237421,-0.583728142070705,0.5594032303432,0.999947348795925
"ENSDARG00000097044",38.2036797834891,0.105038475255473,0.722170204447182,0.145448364677244,0.884356881132994,0.999947348795925
"ENSDARG00000059003",28.3026623768569,0.159948855207104,0.833499445428016,0.191900373880834,0.847820244571652,0.999947348795925
"ENSDARG00000039343",2379.87723250679,0.147152004731287,0.118510763828511,1.24167628304397,0.214356023914527,0.999947348795925
"ENSDARG00000039340",1869.5012301018,0.0829014863913597,0.133322726792119,0.621810612384357,0.534066407311288,0.999947348795925
"ENSDARG00000070408",5.91874761085599,0.453773855902935,1.79929384201832,0.252195525436759,0.800889936507526,0.999947348795925
"ENSDARG00000045858",26.1876659722019,-0.169859792812824,0.871930000151316,-0.194808978683319,0.845542492986575,0.999947348795925
"ENSDARG00000045856",0,NA,NA,NA,NA,NA
"ENSDARG00000045854",0.994147564300477,0.0979205539595882,4.70197884834197,0.0208253922694947,0.983384942027551,NA
"ENSDARG00000045853",1132.5818436469,0.132447205338067,0.151714065264349,0.873005446840333,0.382660108862025,0.999947348795925
"ENSDARG00000045851",74.3820022518963,-0.224671608408868,0.524534835244331,-0.428325429147551,0.668414207680326,0.999947348795925
"ENSDARG00000095324",234.68686923426,0.171961329729561,0.301427024753556,0.570490751020601,0.568344893449949,0.999947348795925
"ENSDARG00000015623",8.23552893832606,-0.352227110194106,1.52692766228933,-0.230677011683717,0.817565733929026,0.999947348795925
"ENSDARG00000030694",1982.37901701851,-0.00727555145768097,0.123950899072491,-0.0586970446533507,0.953193413306345,0.999947348795925
"ENSDARG00000096037",612.349393989139,-0.0924537031530844,0.199402106188224,-0.463654596836674,0.642895231401579,0.999947348795925
"ENSDARG00000045850",92.5948183974596,-0.245809513336109,0.481212115870406,-0.510813226079095,0.609481847006595,0.999947348795925
"ENSDARG00000015931",6.30301946245611,-1.08351432476775,1.77177424517481,-0.611541977042821,0.540840837345129,0.999947348795925
"ENSDARG00000063481",19.444827349793,-0.613045623193952,1.03707799331236,-0.59112779091563,0.554434800362452,0.999947348795925
"ENSDARG00000045847",7243.55306869361,0.0757186705693125,0.0921640606419621,0.821563959334036,0.41132510843946,0.999947348795925
"ENSDARG00000045846",853.877660204388,-0.065595579380413,0.168973547295809,-0.388200285962985,0.697867821563946,0.999947348795925
"ENSDARG00000045843",12452.9643948347,-0.0579789068017562,0.0839467603543838,-0.69066282673681,0.489777455264349,0.999947348795925
"ENSDARG00000045842",1487.34018206764,-0.034547382567125,0.137799482563897,-0.250707636373783,0.802040156234841,0.999947348795925
"ENSDARG00000095332",883.649838834898,0.188248790285621,0.16695851049552,1.12751838601646,0.259523371359533,0.999947348795925
"ENSDARG00000014395",54.6619026769366,0.32414971011942,0.602104042463574,0.538361624002932,0.59032741496363,0.999947348795925
"ENSDARG00000045837",39.5273599225637,0.494958766304815,0.726191197914376,0.681581886046455,0.495503372041961,0.999947348795925
"ENSDARG00000094254",0.248785052179589,-1.20245343281504,4.96871680842897,-0.242004823212139,0.808776425919273,NA
"ENSDARG00000097507",37.9864548278221,0.000731837792117465,0.721932059806011,0.00101372114200624,0.999191167690364,0.999947348795925
"ENSDARG00000095186",4.43427934033013,-0.149472604232311,2.10074763566916,-0.0711520992309476,0.943276704014998,0.999947348795925
"ENSDARG00000096986",21.6653625496978,-0.17350868784053,0.948781581235817,-0.182875270001058,0.854895887333608,0.999947348795925
"ENSDARG00000097353",53.9941800555603,0.0020109636756066,0.626553398012977,0.00320956471066005,0.997439142267164,0.999947348795925
"ENSDARG00000110143",133.593764448739,0.241220019094049,0.38986533953151,0.618726505372126,0.536096545806993,0.999947348795925
"ENSDARG00000045836",385.154293370959,-0.00985662650614237,0.242660343449854,-0.0406190247900118,0.967599617083315,0.999947348795925
"ENSDARG00000006409",1255.68360447765,0.131205466653646,0.149762094150646,0.876092628096306,0.380979680053202,0.999947348795925
"ENSDARG00000045835",24.5263029308431,0.0462813290070196,0.899928013327074,0.0514278123601414,0.958984623032477,0.999947348795925
"ENSDARG00000045834",0.76052165492451,0.621406788891334,4.85245711545706,0.128060233013065,0.89810130632504,NA
"ENSDARG00000034700",33.556217783045,0.388088745282065,0.780431362376256,0.497274666282519,0.6189953741524,0.999947348795925
"ENSDARG00000024465",572.072989410175,0.0577042191150883,0.2147025713553,0.268763521325492,0.788111666522063,0.999947348795925
"ENSDARG00000017355",7.04135257071914,1.17599442612349,1.62862197861772,0.722079427616229,0.470245645608015,0.999947348795925
"ENSDARG00000031956",167.115798786342,-0.204507045411009,0.353734334074601,-0.578137392136437,0.56317136381728,0.999947348795925
"ENSDARG00000070220",30.7529831984663,0.222895597615697,0.81007159523292,0.275155429381038,0.783196827912016,0.999947348795925
"ENSDARG00000075956",14.7102959280383,-0.900574288713602,1.20864031565073,-0.745113560297493,0.4562030721725,0.999947348795925
"ENSDARG00000009607",1668.64973228973,0.0482290100760752,0.132258117448458,0.364658222924355,0.715366547467589,0.999947348795925
"ENSDARG00000054321",0.497570104359178,-1.77340000032701,4.93320745711089,-0.359482145388142,0.719234432310015,NA
"ENSDARG00000024654",232.032729082448,-0.0685988924701665,0.299911581789579,-0.228730388005809,0.819078474612144,0.999947348795925
"ENSDARG00000040610",50.7336804007771,0.495168485533799,0.643284519349517,0.769750352510438,0.441447995190074,0.999947348795925
"ENSDARG00000003200",1732.96739673393,0.0786709489258269,0.130196592163621,0.604247374055377,0.545679188727315,0.999947348795925
"ENSDARG00000100253",155.021660488502,-0.0894188060136582,0.363655258093179,-0.245888940208164,0.805768205478744,0.999947348795925
"ENSDARG00000091640",460.82626004144,0.188604486025718,0.219977858789113,0.857379406563492,0.391235236627411,0.999947348795925
"ENSDARG00000073858",244.626263362092,-0.390100301794046,0.295542575828704,-1.31994620639751,0.186852978914338,0.999947348795925
"ENSDARG00000088078",15.2589264437093,1.21155170828653,1.17577427097919,1.03042883161369,0.302808744669998,0.999947348795925
"ENSDARG00000099560",20.8047636545879,-0.766556772833174,0.979889195758984,-0.782289238569907,0.434044609804366,0.999947348795925
"ENSDARG00000087120",2.20967468342684,-0.903777441595354,2.79925756606608,-0.32286326651444,0.746798796755819,0.999947348795925
"ENSDARG00000099280",6203.6934753747,-0.121623153304112,0.104074623787389,-1.16861487342555,0.24255883302881,0.999947348795925
"ENSDARG00000101680",3411.16717438921,0.0551519536704825,0.106054101318349,0.520036028639096,0.603038463907226,0.999947348795925
"ENSDARG00000098745",131.203958719687,0.513303256681912,0.395299180292836,1.29851839384453,0.194109259856169,0.999947348795925
"ENSDARG00000074223",24.8658408319627,-0.394502208921707,0.890746031220342,-0.442889662254493,0.657845545173002,0.999947348795925
"ENSDARG00000093020",1.00090064022534,0.92386397567429,4.70604877257595,0.196314152343261,0.844364284946842,NA
"ENSDARG00000091974",0,NA,NA,NA,NA,NA
"ENSDARG00000005453",310.315568423198,0.0251100970000178,0.262170768514907,0.0957776381488163,0.923697177868748,0.999947348795925
"ENSDARG00000090468",0.467251818751936,-1.75462222147085,4.93160299728369,-0.355791458160215,0.72199674647158,NA
"ENSDARG00000099281",412.224709427153,0.139683873115572,0.230585865376013,0.605778124724999,0.544662097697924,0.999947348795925
"ENSDARG00000068701",0.467251818751936,-1.75462222147085,4.93160299728369,-0.355791458160215,0.72199674647158,NA
"ENSDARG00000097967",0.775680797728131,0.644805216910983,4.87561748808216,0.132250985334089,0.894785774780452,NA
"ENSDARG00000068705",766.153167216169,0.108031196980904,0.190307899477965,0.567665332218183,0.570262235956264,0.999947348795925
"ENSDARG00000068708",1423.41597449293,-0.0289291258468185,0.142487238055026,-0.203029592275812,0.83911190258093,0.999947348795925
"ENSDARG00000024874",507.589416582016,-0.221031721734726,0.218942763443016,-1.00954111594674,0.312715193347842,0.999947348795925
"ENSDARG00000096138",0,NA,NA,NA,NA,NA
"ENSDARG00000084778",0,NA,NA,NA,NA,NA
"ENSDARG00000107521",0,NA,NA,NA,NA,NA
"ENSDARG00000110906",0,NA,NA,NA,NA,NA
"ENSDARG00000113211",0,NA,NA,NA,NA,NA
"ENSDARG00000102702",39.3146290282227,-0.38179250568212,0.709624367345405,-0.538020568699391,0.590562848455334,0.999947348795925
"ENSDARG00000102461",10.3103771688684,0.060793485250806,1.38432746763125,0.0439155378133403,0.964971729865634,0.999947348795925
"ENSDARG00000101296",15.3209171294351,-0.103883093803511,1.12215139518343,-0.0925749361890065,0.926241256244797,0.999947348795925
"ENSDARG00000099870",0,NA,NA,NA,NA,NA
"ENSDARG00000070314",55.855708763107,-0.0112787540652078,0.600993021508369,-0.0187668636099974,0.985027088173919,0.999947348795925
"ENSDARG00000045822",1.46239202747029,-3.87609063713813,3.99640864777894,-0.969893466548353,0.332099597034904,0.999947348795925
"ENSDARG00000105079",1.68469908171396,-1.93136434843243,3.51076701470761,-0.550126038082673,0.582232928601277,0.999947348795925
"ENSDARG00000101254",9.40074569695235,-0.697246891999569,1.41507257154665,-0.492728716547372,0.622204284193582,0.999947348795925
"ENSDARG00000006029",677.022880735326,0.0064625563399291,0.187180545130641,0.034525790783538,0.972457876533606,0.999947348795925
"ENSDARG00000018688",214.227608835238,0.213083306062392,0.315689591918021,0.674977292623973,0.499690191830546,0.999947348795925
"ENSDARG00000112117",0,NA,NA,NA,NA,NA
"ENSDARG00000079470",523.593843219827,-0.308760803818981,0.212358291042513,-1.45396161507614,0.145956948564934,0.999947348795925
"ENSDARG00000105096",0.75019544421009,0.614190255264224,4.85402333175129,0.126532200874822,0.899310661266984,NA
"ENSDARG00000104976",0,NA,NA,NA,NA,NA
"ENSDARG00000086740",168.32009711832,-0.245320308869237,0.36008805130723,-0.681278670532522,0.495695176969472,0.999947348795925
"ENSDARG00000027799",4.0105848061534,1.16203652784434,2.43832021717867,0.476572568138284,0.633666521127784,0.999947348795925
"ENSDARG00000045815",1854.1182092059,-0.0053437672292023,0.126735239633464,-0.0421648094457171,0.966367315592476,0.999947348795925
"ENSDARG00000078073",1491.86651419361,0.0528233584879286,0.147171863321433,0.358922944208153,0.719652734746419,0.999947348795925
